timestamp_ms,temperature,humidity,pressure,iaq,iaq_accuracy,static_iaq,co2_equiv,breath_voc,gas_resistance,o3_ppb,no2_ppb,oaq_index,rmox_0,rmox_1,rmox_2,rmox_3,label,event_name
516264704,26.88,38.52,101153.45,141.6,3,109.2,1091.5,1.91,92219,0.14,12.624,12,1863762.75,663817,358116.938,309039.5,0,MODERATE
522284704,26.89,38.4,101154.07,144.8,3,111.2,1112.3,2,92219,0.14,12.611,12,1858913.5,661109.562,358273.75,309214.062,1,MODERATE
531314704,26.9,38.56,101156.45,140.7,3,108.6,1085.8,1.89,93807.3,0.14,12.609,12,1869681.75,662707.375,358535.219,308494.781,1,MODERATE
537334704,26.88,38.56,101156.22,145.7,3,111.8,1118.1,2.03,92219,0.14,12.581,12,1850996,661600.562,357073.938,308908.688,1,MODERATE
543354704,26.89,38.5,101157.68,149.2,3,114.1,1140.5,2.14,91526.6,0.14,12.593,12,1853743,665920.688,360583.188,307886.062,1,MODERATE
552384704,26.91,38.52,101155.76,149.8,3,114.4,1144.2,2.15,91921,0.14,12.617,12,1866543.875,660435.312,358143.062,308277.219,1,MODERATE
558404704,26.89,38.51,101155.67,149.4,3,114.1,1141.3,2.14,91921,0.14,12.68,12,1882681.625,664929.438,358378.312,308385.969,1,MODERATE
564424704,26.89,38.46,101155.18,150.5,3,114.9,1148.6,2.18,91921,0.14,12.776,12,1862028.125,661355,358299.875,308886.875,1,MODERATE
573454704,26.94,38.31,101157.74,139.8,3,107.9,1079.2,1.86,93910.5,0.14,12.804,12,1862721.75,668720.625,360319.781,309957.219,1,MODERATE
579474704,26.93,38.71,101156.82,144.4,3,110.9,1109,1.99,92119.5,0.14,12.884,12,1866892,664805.75,362407.125,309607.219,1,MODERATE
585494704,26.94,38.1,101158.22,147.7,3,113,1130.3,2.09,91921,0.14,12.934,12,1869332.625,666479.25,360952.312,310900.156,1,MODERATE
594524704,26.94,38.22,101157.43,134,3,104.2,1041.8,1.71,94014,0.14,12.961,12,1878799.75,666665.625,361692,311427.906,1,MODERATE
600544704,26.91,38.3,101161.33,131.7,3,102.7,1027,1.65,94014,0.141,13.042,12,1868634.75,670033.312,359793.75,309935.344,1,MODERATE
606564704,26.89,38.27,101161.92,130.8,3,102.1,1020.9,1.63,94169.6,0.141,13.066,12,1879857,664002.312,360398.781,311956.781,1,MODERATE
615594704,26.91,38.18,101165.09,130.6,3,102,1019.6,1.62,93910.5,0.141,13.153,12,1883388.875,667349.562,360161.875,309847.781,1,MODERATE
621614704,26.91,38.1,101161.49,135.1,3,104.9,1048.8,1.74,94325.7,0.141,13.199,12,1884804.875,670095.938,360846.781,311560.031,1,MODERATE
627634704,26.91,38.13,101163.3,139.3,3,107.6,1075.6,1.84,92318.8,0.141,13.266,13,1891914.125,665920.688,362778.625,311471.969,1,MODERATE
636664704,26.92,38.16,101166.51,134.4,3,104.4,1044.2,1.72,94273.6,0.141,13.225,12,1890844.75,668658.188,360188.188,309782.188,1,MODERATE
642684704,26.92,38.18,101165.71,134,3,104.2,1041.6,1.71,94014,0.141,13.271,13,1873529.5,669470.188,361559.781,311560.031,1,MODERATE
648704704,26.91,38.15,101164.27,140.8,3,108.5,1085.4,1.89,92219,0.141,13.285,13,1900149.625,670221.188,361612.656,311010,1,MODERATE
657735704,26.94,38.06,101167.71,136.2,3,105.5,1055.3,1.76,94273.6,0.141,13.263,13,1877391.75,667785.312,360530.469,310768.375,1,MODERATE
