Comment,Designator,Footprint,LCSC Part #
0,R2 R4 R5,0402,
0.1uF,C2 C4 C9 C10 C14 C15 C16 C17 C18 C20 C21 C22 C23 C24 C25,0402,
1.0uF,C3,0402,
2.0K,R14,0402,
2.2nH,L1,0603,
4.7UF0402,C19,0402,
5.1k,R7 R8,0402,
10UF0402,C11 C12 C13,0402,
10k,R1 R6 R9 R11 R12,0402,
12pF,C5 C6,0402,
22uF,C1,0603,
100OHM,R10 R13,0402,
470,R15,0402,
BME690,U2,IC_BME688,
DNP,C7 C8,0402,
ESP32-C6-MINI-1-N4,U1,XCVR_ESP32-C6-MINI-1-N4,
JS202011JCQN,S1,SW_JS202011JCQN,
JTAG,J1,2X5-SMD-UNSHROUDED,
LM66100DCKR,U4 U5,SOT65P210X110-6N,
MCP73831T-2ACI/OT,U$1,SOT95P280X145-5N,
MOMENTARY-SWITCH-SPST-SMD-4.6X2.8MM,BOOT RESET,TACTILE_SWITCH_SMD_4.6X2.8MM,
NR3015T2R2M,L2,IND_NR3015T2R2M,
PCF8563T/F4 118,U7,SOIC127P600X175-8N,
Q13FC13500003,Y1,XTAL_FC-135_32.7680KA-A0,
RED,D2 D3,LED-0603,
SM04B-SRSS-TB(LF)(SN),J5,1X04_1MM_RA,
SM06B-GHS-TB(LF)(SN),J3,JST_SM06B-GHS-TB(LF)(SN),
TPS63001DRCR,U3,VREG_V62/16624-01YE,
TYPE-C-31-M-12,J2,HRO_TYPE-C-31-M-12,
WS2812B-2020,LED1,WS2812B-2020,
XTSD04GLGEAG,U6,SON127P600X800X95-8N,
ZMOD4510AI1R,IC1,ZMOD4510AI1R,
