Designator,Mid X,Mid Y,Layer,Rotation
BOOT,34.93,43.18,Top,180.0
C1,14.02,38.07,Top,90.0
C2,15.49,37.80,Top,90.0
C3,15.37,34.04,Top,270.0
C4,15.60,43.36,Top,90.0
C5,12.37,20.40,Top,180.0
C6,12.34,17.91,Top,180.0
C7,25.48,26.92,Top,90.0
C8,21.03,26.92,Top,90.0
C9,17.37, 3.76,Top,90.0
C10,12.45, 3.76,Top,90.0
C11,13.84,14.40,Top,90.0
C12,12.40,14.40,Top,90.0
C13,10.31, 9.30,Top,0.0
C14,17.09,10.59,Top,180.0
C15,31.19,12.42,Top,0.0
C16,38.99,25.86,Top,90.0
C17,31.22,14.22,Top,0.0
C18,31.50, 6.53,Top,0.0
C19, 7.39,26.34,Top,90.0
C20,31.55, 9.35,Top,0.0
C21,38.84, 8.31,Top,270.0
C22,38.46,12.70,Top,180.0
C23,33.81,31.90,Top,0.0
C24,31.50,24.00,Top,0.0
C25,21.29,21.84,Top,90.0
D2,43.56,32.74,Top,0.0
D3,10.77,23.09,Top,270.0
IC1,35.48, 7.62,Top,0.0
J1, 4.95,33.53,Top,270.0
J2,23.42, 3.30,Top,0.0
J3,43.36,15.82,Top,90.0
J5,41.27,26.92,Top,90.0
L1,14.94, 4.24,Top,180.0
L2, 9.78,11.76,Top,270.0
LED1,31.88,26.01,Top,0.0
R1,12.32,34.04,Top,90.0
R2,13.84,34.04,Top,270.0
R4,24.00,26.92,Top,270.0
R5,22.48,26.92,Top,270.0
R6,26.92,26.90,Top,270.0
R7,29.92, 4.85,Top,180.0
R8,16.51, 1.68,Top,0.0
R9,31.52, 7.95,Top,180.0
R10,17.09, 9.17,Top,180.0
R11,38.56,16.69,Top,180.0
R12,38.56,15.29,Top,180.0
R13,43.26,34.14,Top,180.0
R14, 9.30,18.34,Top,90.0
R15,12.17,22.76,Top,270.0
RESET,12.19,43.18,Top,0.0
S1, 4.50,14.76,Top,0.0
U$1, 8.33,22.66,Top,270.0
U1,23.42,34.80,Top,0.0
U2,34.39,12.90,Top,0.0
U3,13.87,10.85,Top,0.0
U4,16.15, 6.76,Top,0.0
U5,12.01, 6.73,Top,0.0
U6,36.30,36.25,Top,180.0
U7,20.14,17.86,Top,0.0
Y1,15.09,19.13,Top,90.0
